Asset,Target,Group,Freq,Horizon,ControlSet,Method,Type,RMSE,MAE,MAPE,R2
Gold,Gold,A,D,1,PC-DAG,IV-2SLS,Causal,47.210834,26.684656,391737847.6075,-0.0021
Gold,Gold,A,D,5,PC-DAG,CausalImpact,Causal,46.779779,26.191472,59537390.0996,-0.0084
Gold,Gold,A,D,5,PC-DAG,DML,Causal,48.381741,27.320217,559928994.3154,-0.0511
Gold,Gold,A,D,5,PC-DAG,VAR+Granger,Causal,47.23152,26.588405,48467646.1422,-0.0042
Gold,Gold,A,D,5,PC-DAG,IV-2SLS,Causal,47.213182,26.618739,427603970.1666,-0.0022
Gold,Gold,A,D,21,PC-DAG,CausalImpact,Causal,44.159187,24.703259,52156131.2228,-0.0141
Gold,Gold,A,D,21,PC-DAG,DML,Causal,47.308336,27.079123,214458290.473,-0.0014
Gold,Gold,A,D,21,PC-DAG,VAR+Granger,Causal,47.243856,26.570561,55691349.3735,-0.0047
Gold,Gold,A,D,21,PC-DAG,IV-2SLS,Causal,47.37839,26.722483,292242318.3663,-0.0044
EUR/USD,EURUSD,B,D,1,Heuristic-Z,CausalImpact,Causal,0.00512,0.003809,57653.1734,-0.0804
EUR/USD,EURUSD,B,D,1,Heuristic-Z,DML,Causal,0.005004,0.003719,230191.3361,-0.029
EUR/USD,EURUSD,B,D,1,Heuristic-Z,VAR+Granger,Causal,0.004977,0.0037,92484.4978,-0.0196
EUR/USD,EURUSD,B,D,1,Heuristic-Z,IV-2SLS,Causal,0.004692,0.003496,225765.1653,0.0944
EUR/USD,EURUSD,B,D,5,Heuristic-Z,CausalImpact,Causal,0.005031,0.003736,32093.0916,-0.0466
EUR/USD,EURUSD,B,D,5,Heuristic-Z,DML,Causal,0.004992,0.003698,1146809.879,-0.0243
EUR/USD,EURUSD,B,D,5,Heuristic-Z,VAR+Granger,Causal,0.004931,0.003671,51451.6678,-0.0007
EUR/USD,EURUSD,B,D,5,Heuristic-Z,IV-2SLS,Causal,0.004972,0.003694,348005.1227,-0.016
EUR/USD,EURUSD,B,D,21,Heuristic-Z,CausalImpact,Causal,0.004849,0.003597,54588.878,0.0174
EUR/USD,EURUSD,B,D,21,Heuristic-Z,DML,Causal,0.005469,0.004047,2211384.3668,-0.2249
EUR/USD,EURUSD,B,D,21,Heuristic-Z,VAR+Granger,Causal,0.004931,0.00367,47795.8576,-0.0011
EUR/USD,EURUSD,B,D,21,Heuristic-Z,IV-2SLS,Causal,0.004957,0.003682,174614.4215,-0.0071
EUR/USD,EURUSD,B,D,1,Expert-DAG,CausalImpact,Causal,0.006499,0.004632,922937.7747,-0.7409
EUR/USD,EURUSD,B,D,1,Expert-DAG,DML,Causal,0.004919,0.003689,744996.8287,0.0058
EUR/USD,EURUSD,B,D,1,Expert-DAG,VAR+Granger,Causal,0.006109,0.004313,1007466.1212,-0.5363
EUR/USD,EURUSD,B,D,1,Expert-DAG,IV-2SLS,Causal,0.004692,0.003496,225765.1653,0.0944
EUR/USD,EURUSD,B,D,5,Expert-DAG,CausalImpact,Causal,0.004959,0.003692,69765.5166,-0.0166
EUR/USD,EURUSD,B,D,5,Expert-DAG,DML,Causal,0.005433,0.003983,1056871.0891,-0.2132
EUR/USD,EURUSD,B,D,5,Expert-DAG,VAR+Granger,Causal,0.005006,0.003748,293822.0432,-0.0316
EUR/USD,EURUSD,B,D,5,Expert-DAG,IV-2SLS,Causal,0.004972,0.003694,348005.1227,-0.016
EUR/USD,EURUSD,B,D,21,Expert-DAG,CausalImpact,Causal,0.004881,0.003631,142354.084,0.0042
EUR/USD,EURUSD,B,D,21,Expert-DAG,DML,Causal,0.005292,0.00398,1964087.7891,-0.1467
EUR/USD,EURUSD,B,D,21,Expert-DAG,VAR+Granger,Causal,0.004933,0.00367,58274.1809,-0.0016
EUR/USD,EURUSD,B,D,21,Expert-DAG,IV-2SLS,Causal,0.004957,0.003682,174614.4215,-0.0071
EUR/USD,EURUSD,B,D,1,PC-DAG,CausalImpact,Causal,0.006335,0.004514,1480148.0408,-0.6542
EUR/USD,EURUSD,B,D,1,PC-DAG,DML,Causal,0.005155,0.003859,1296427.3238,-0.0923
